cycle,mode,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction
23,virtual,0.13778031582954497,0.0053567723243479835,0.016724435043873224,0.02208120736822121,0.02208120736822121,0.004101106574640809,0.0040752896235340536,2.581695110675554e-05,0.004101106574640809,0.0040752896235340536,1.0963453926364626e-08,9.755577816486203e-09,-0.20539737351664739,328.72783891133,296.15,32.57783891133005,0.006807626650910947,0.008523474469555481,0.24032466096449429,0.33499999999999996,0.7499489428001183,0.6649433188947776
24,virtual,0.1423385901386638,0.005525021856425789,0.017084495267024137,0.022609517123449926,0.022609517123449926,0.004240169231398113,0.004214417991616368,2.575123978174488e-05,0.004240169231398113,0.004214417991616368,1.1150780885573153e-08,9.965528019577122e-09,-0.20505132645697102,328.67048556252837,296.15,32.52048556252839,0.007103612555894756,0.008888127919476574,0.24009080083654746,0.33499999999999996,0.7499467229058309,0.6649408939493356
25,virtual,0.1468170949852663,0.005690519492486204,0.017437188611276182,0.023127708103762384,0.023127708103762384,0.004376197993698586,0.004350511222468221,2.5686771230364752e-05,0.004376197993698586,0.004350511222468221,1.1335045548471938e-08,1.0171178174149867e-08,-0.2052563555522556,328.6602507358476,296.15,32.51025073584765,0.007399599603132856,0.009252423971489065,0.23986144127914022,0.33499999999999996,0.7499445030029767,0.6649384713805898
26,virtual,0.15123240238736457,0.005853237084334393,0.01778261390818307,0.023635850992517464,0.023635850992517464,0.004510434873814712,0.004484324133967141,2.6110739847571424e-05,0.004510434873814712,0.004484324133967141,1.1516216481781544e-08,1.0372586175381406e-08,-0.20591108244451756,328.6374183533384,296.15,32.4874183533384,0.007694967136075093,0.009616370421724696,0.2396364801021212,0.33499999999999996,0.7499422877464795,0.6649360511366957
27,virtual,0.15557381072321164,0.006013328425420501,0.01812123872957249,0.024134567154992993,0.024134567154992993,0.004641926088746508,0.004615877773445433,2.604831530107505e-05,0.004641926088746508,0.004615877773445433,1.1694464930686825e-08,1.057002469165478e-08,-0.2052027235117027,328.40024349198575,296.15,32.25024349198577,0.007990334028534107,0.009980460862038854,0.2394157070113386,0.33499999999999996,0.7499400724947861,0.6649336299352676
28,virtual,0.1598514167828995,0.006171040281489555,0.018453707822951113,0.024624748104440666,0.024624748104440666,0.004771172363403809,0.004745185146048624,2.5987217355185818e-05,0.004771172363403809,0.004745185146048624,1.1870065571091216e-08,1.0763869874072966e-08,-0.2054392043620987,328.3823745287642,296.15,32.23237452876424,0.00828570204939183,0.010344208020001133,0.239198711957918,0.33499999999999996,0.7499378572346297,0.6649312110166672
29,virtual,0.1640749967532571,0.006326471669180074,0.018780337516268307,0.02510680918544838,0.02510680918544838,0.004898785686758709,0.004872858379098827,2.5927307659882187e-05,0.004898785686758709,0.004872858379098827,1.2043128605965187e-08,1.0954306305455377e-08,-0.20564845682891364,328.35060477851323,296.15,32.20060477851325,0.008581071129555085,0.01070762645960599,0.23898528195446517,0.33499999999999996,0.7499356419665284,0.6649287942840438
30,virtual,0.1682383109254033,0.006479726270034118,0.01910144150898331,0.02558116777901743,0.02558116777901743,0.005024208539833086,0.004998340078382523,2.586846145056273e-05,0.005024208539833086,0.004998340078382523,1.221376943262634e-08,1.114151703017332e-08,-0.2060089859398826,328.3377369268674,296.15,32.187736926867444,0.008876441258323098,0.011070704037706491,0.23877527092982798,0.33499999999999996,0.7499334266905627,0.6649263798181494
31,virtual,0.17237485052379498,0.0066308806281285704,0.019417265902638096,0.026048146530766668,0.026048146530766668,0.0051498045793632605,0.005123993932485521,2.5810646877739117e-05,0.0051498045793632605,0.005123993932485521,1.2382073239854162e-08,1.1325645659905548e-08,-0.20611245806092776,328.2793417454723,296.15,32.129341745472345,0.009171812497413612,0.011433403505037631,0.23856840398694723,0.33499999999999996,0.7499312114062695,0.6649239678666917
32,virtual,0.17645587584048883,0.00678002928978191,0.019728085181817685,0.026508114471599595,0.026508114471599595,0.005273382741302235,0.005247628963256125,2.5753778046110065e-05,0.005273382741302235,0.005247628963256125,1.2548145257896448e-08,1.1506852356904123e-08,-0.20632339017959941,328.25916888940856,296.15,32.10916888940858,0.009467184794814898,0.011795804889317196,0.23836465040158877,0.33499999999999996,0.749928996114039,0.6649215578974862
