cycle,mode,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction
17,virtual,0.11695326542374573,0.004278457133038338,0.014373211968425751,0.01865166910146409,0.01865166910146409,0.0028947697587427632,0.0028677953412681676,2.6974417474595613e-05,0.0028947697587427632,0.0028677953412681676,9.763973279320113e-09,8.385389839562552e-09,-0.20287467144960247,329.2544671562833,296.15,33.104467156283306,0.015929101160296,0.02001854931818059,0.24186017671099877,0.33499999999999996,0.7498805317412979,0.6648668766470343
18,virtual,0.12250323868445889,0.00446680808566554,0.014790188940544019,0.01925699702620956,0.01925699702620956,0.0030324475555168367,0.003005554519468536,2.6893036048300685e-05,0.0030324475555168367,0.003005554519468536,9.973756564340726e-09,8.628641163460644e-09,-0.20319768074951838,329.2112395503368,296.15,33.061239550336836,0.016866149542707376,0.021181369696364527,0.24159346933217518,0.33499999999999996,0.7498735038784298,0.6648591438915193
19,virtual,0.12799330629671601,0.0046512952764136955,0.015195770609477065,0.01984706588589076,0.01984706588589076,0.0031697001585736253,0.003142886249705335,2.6813908868290187e-05,0.0031697001585736253,0.003142886249705335,1.0179242202858328e-08,8.865244239147198e-09,-0.20377278315258399,329.15405692194076,296.15,33.00405692194079,0.01780320997390561,0.02234296102515998,0.2413333083301375,0.33499999999999996,0.7498664759251958,0.6648514193091829
20,virtual,0.1333619974104323,0.004832175074941802,0.015590905139831048,0.02042308021477285,0.02042308021477285,0.003301793532318379,0.003275056736163508,2.6736796154871057e-05,0.003301793532318379,0.003275056736163508,1.0380715496723618e-08,9.095752227512659e-09,-0.20496954595624994,329.1577146884229,296.15,33.007714688422936,0.01874028267251049,0.023503328292477477,0.24107945326092015,0.33499999999999996,0.7498594478799563,0.6648437028668552
21,virtual,0.13714856139448273,0.005012008125223582,0.01598146737219466,0.020993475497418243,0.020993475497418243,0.003319898776366153,0.0032932381786025767,2.666059776357645e-05,0.003319898776366153,0.0032932381786025767,1.0581027236443413e-08,9.323592424236986e-09,-0.20425158995337495,331.6757572476803,296.15,35.5257572476803,0.019677832273458762,0.02465907079309204,0.2408346060392736,0.33499999999999996,0.7498524162579492,0.6648360171792261
22,virtual,0.14238098528507237,0.005186196290240487,0.01635775197041377,0.021543948260654255,0.021543948260654255,0.003448899325896136,0.003422314063724525,2.658526217161122e-05,0.003448899325896136,0.003422314063724525,1.077505797626582e-08,9.543102917566507e-09,-0.20439808058956765,329.08234107783466,296.15,32.93234107783468,0.02061491351919642,0.025817077003992495,0.2405918466695893,0.33499999999999996,0.7498453881486061,0.6648283164379236
23,virtual,0.1475394763945559,0.005357326648448575,0.016725628737598763,0.022082955386047338,0.022082955386047338,0.003575637434375528,0.003549123624752071,2.6513809623456962e-05,0.003575637434375528,0.003549123624752071,1.0965687928104727e-08,9.757708064156775e-09,-0.20493426921278265,329.049959252123,296.15,32.89995925212304,0.021552007379810334,0.026974030783890157,0.24035411886592922,0.33499999999999996,0.7498383599446515,0.6648206226952873
24,virtual,0.15262213512218636,0.005525560927526388,0.017085651473977906,0.022611212401504294,0.022611212401504294,0.0036998113654835743,0.003673367716244874,2.6443649238700254e-05,0.0036998113654835743,0.003673367716244874,1.1153097058500829e-08,9.967730953508091e-09,-0.20499403891543258,329.02682207415484,296.15,32.87682207415486,0.022489113651502635,0.028129953746599767,0.2401211343011691,0.33499999999999996,0.7498313316476138,0.6648129358075853
25,virtual,0.1576371428609491,0.005691040753732602,0.017438302556375965,0.023129343310108567,0.023129343310108567,0.0038218801032647272,0.003795505130376663,2.6374972888064396e-05,0.0038218801032647272,0.003795505130376663,1.1337442960310064e-08,1.0173453006922327e-08,-0.20528202990112795,329.0024886781377,296.15,32.85248867813772,0.02342623231912455,0.029284726812974782,0.23989259967849397,0.33499999999999996,0.7498243032576066,0.6648052565666939
26,virtual,0.16260186420973355,0.005853736881663225,0.017783678483749808,0.023637415365413035,0.023637415365413035,0.003943157547928298,0.003916271542164171,2.6886005764127294e-05,0.003943157547928298,0.003916271542164171,1.1518692754552255e-08,1.0374930547386947e-08,-0.20561700289968093,328.96831241483994,296.15,32.818312414839966,0.024361354468936725,0.030438469937720924,0.23966841014136522,0.33499999999999996,0.7498172898414831,0.6647975841749143
27,virtual,0.16748201787794414,0.0060138100496079094,0.01812226150445691,0.02413607155406482,0.02413607155406482,0.004060926947616016,0.0040341088524688505,2.681809514716582e-05,0.004060926947616016,0.0040341088524688505,1.1697025543401813e-08,1.0572444904033688e-08,-0.2050983702814191,328.74063346642,296.15,32.59063346642,0.02529648287382713,0.03159262193328516,0.23944844828826609,0.33499999999999996,0.7498102763784464,0.6647899090641438
28,virtual,0.1723177710557593,0.0061714980903621736,0.018454677431615142,0.024626175521977316,0.024626175521977316,0.004177907006319248,0.004151155486223436,2.675152009581211e-05,0.004177907006319248,0.004151155486223436,1.1872706050674094e-08,1.0766361173799811e-08,-0.20561753313713485,328.6986382687929,296.15,32.5486382687929,0.0262316238192426,0.03274578104469583,0.23923218744683142,0.33499999999999996,0.7498032628213558,0.664782240556053
29,virtual,0.17709176780989822,0.0063269136304630776,0.018781271208677452,0.02510818483914053,0.02510818483914053,0.004292723445194198,0.004266037188277646,2.6686256916551993e-05,0.004292723445194198,0.004266037188277646,1.204585960243827e-08,1.0956880598719334e-08,-0.20564842031276875,328.68362223686563,296.15,32.533622236865654,0.027166777246264928,0.03389789374192276,0.23901951169493146,0.33499999999999996,0.7497962491706531,0.6647745790066164
30,virtual,0.18181652192485842,0.00648014970696255,0.01910233407034774,0.02558248377731029,0.02558248377731029,0.004406193177994113,0.00437957096676653,2.662221122758275e-05,0.004406193177994113,0.00437957096676653,1.2216589717955996e-08,1.1144173087582023e-08,-0.20594664066497673,328.6579211294025,296.15,32.50792112940252,0.028101943089183123,0.03504898572495563,0.23881020945456077,0.33499999999999996,0.7497892354268312,0.6647669242449292
31,virtual,0.18649270879652136,0.006631295887068943,0.01941813930186631,0.026049435188935252,0.026049435188935252,0.0045182730083634095,0.0044917137062374605,2.6559302125949043e-05,0.0045182730083634095,0.0044917137062374605,1.2384996056900173e-08,1.1328398077274225e-08,-0.20609332793231472,328.628876037446,296.15,32.478876037446014,0.029037121277667666,0.03619910508470525,0.2386041281469256,0.33499999999999996,0.7497822215904176,0.6647592759511869
32,virtual,0.19112495318098865,0.006780436051462823,0.019728938991321218,0.026509375042784042,0.026509375042784042,0.004629215905534764,0.00460271834686052,2.6497558674244345e-05,0.004629215905534764,0.00460271834686052,1.255117195099054e-08,1.1509702638194112e-08,-0.20635413334843414,328.60136769837527,296.15,32.45136769837529,0.029972311592274536,0.03734825744510317,0.23840110952046736,0.33499999999999996,0.749775207663058,0.6647516340879902
33,virtual,0.19571627162729044,0.00692764984388239,0.020034968261811958,0.02696261810569435,0.02696261810569435,0.0047391627406857375,0.0047127260412638105,2.6436699421926967e-05,0.0047391627406857375,0.0047127260412638105,1.2715206017805583e-08,1.168822394324332e-08,-0.20659525207261628,328.57347907338436,296.15,32.423479073384385,0.03090751408710446,0.03849641564154638,0.23820101088159706,0.33499999999999996,0.7497681936443468,0.6647439988359839
