cycle,mode,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction
42,virtual,0.2961727119350144,0.017112665922519928,0.04032881377863995,0.05744147970115988,0.05744147970115988,0.003437180241655492,0.0034133881902972166,2.3792051358275182e-05,0.003437180241655492,0.0034133881902972166,2.405136457590188e-08,2.3520726429218777e-08,-0.22439584595770307,326.56750811244257,296.15,30.41750811244259,0.012418548706577326,0.014935292994294969,0.2252503902194831,0.33499999999999996,0.7499068608847008,0.6649006803015881
43,virtual,0.30081595846945675,0.01735930371187783,0.04081009998654922,0.05816940369842705,0.05816940369842705,0.0035054152651357046,0.0034817288055925626,2.3686459543142014e-05,0.0035054152651357046,0.0034817288055925626,2.4326006810895068e-08,2.3801249805919592e-08,-0.2232395494870038,326.4516557264245,296.15,30.301655726424542,0.012713392276211266,0.015275540163017354,0.22493532225014662,0.33499999999999996,0.7499046495579286,0.6648984176579161
44,virtual,-0.03167779119448255,0.0176072404945694,0.04129368675707695,0.05890092725164635,0.05890092725164635,-0.02096496119573078,0.0032779993880569583,-0.024242960583787738,-0.02096496119573078,0.0032779993880569583,2.4602096728718407e-08,2.408311102530852e-08,-0.22430823368728156,329.7301555740582,296.15,33.58015557405821,0.013008012530988822,0.015609851761624327,0.22604094625947088,0.33499999999999996,0.7499024399060177,0.6648961944857854
45,virtual,0.3061739051636607,0.01784851320553312,0.041764058269797615,0.059612571475330736,0.059612571475330736,0.0033601260051801625,0.0033366526511316628,2.3473354048499703e-05,0.0033601260051801625,0.0033366526511316628,2.4870769447545684e-08,2.4357260854105627e-08,-0.2237260515635673,326.4103839378523,296.15,30.26038393785234,0.013302809570845398,0.015951073307107322,0.22432693620002014,0.33499999999999996,0.7499002289282187,0.6648939253625079
46,virtual,0.3106900866802249,0.018087453969321547,0.0422296796824731,0.06031713365179464,0.06031713365179464,0.003426909665070958,0.0034035386753601777,2.3370989710780332e-05,0.003426909665070958,0.0034035386753601777,2.5136847665889555e-08,2.46286364921256e-08,-0.2248507298184978,326.301568632822,296.15,30.151568632822034,0.013597588022349782,0.016289508456495128,0.2240219370010805,0.33499999999999996,0.7498980180898325,0.6648916747687645
47,virtual,0.3151667233172759,0.01832401426268077,0.04269046926457058,0.06101448352725135,0.06101448352725135,0.003493228898433625,0.003469959365760211,2.3269532673413865e-05,0.003493228898433625,0.003469959365760211,2.5400277341248605e-08,2.4897190334333783e-08,-0.225189409753643,326.25253572317195,296.15,30.102535723171968,0.013892348265002852,0.016627342717583815,0.22372004721417085,0.33499999999999996,0.7498958073880125,0.6648894281709282
48,virtual,0.3196038536853365,0.01855826774621285,0.043146582549202304,0.061704850295415156,0.061704850295415156,0.0035590123596113982,0.0035358433855511686,2.316897406022967e-05,0.0035590123596113982,0.0035358433855511686,2.5661140454430584e-08,2.5163013147715144e-08,-0.22362805258980833,326.20688174003794,296.15,30.056881740037966,0.014187090166799976,0.016964583582094406,0.22342117301882122,0.33499999999999996,0.7498935968237491,0.6648871855191792
49,virtual,0.32400648447521974,0.018790284247036014,0.0435981666946027,0.062388450941638716,0.062388450941638716,0.003624555306489361,0.003601486099987224,2.3069206502137132e-05,0.003624555306489361,0.003601486099987224,2.591951471949442e-08,2.5426190812480505e-08,-0.25433523804946356,326.15419472526344,296.15,30.00419472526346,0.01448181364320078,0.01730122033099235,0.22312520456463777,0.33499999999999996,0.749891386397676,0.664884946884799
50,virtual,0.32837434926307196,0.019020129445456963,0.04404535995929328,0.06306548940475025,0.06306548940475025,0.0036897719032478278,0.0036668015710748887,2.297033217293909e-05,0.0036897719032478278,0.0036668015710748887,2.6175473234861106e-08,2.5686804016180123e-08,-0.24850038235959993,326.102865991837,296.15,29.95286599183703,0.014776518637006575,0.017637265812581404,0.2228320596647657,0.33499999999999996,0.7498891761102225,0.6648827121823465
51,virtual,0.33270866877730043,0.019247867969015196,0.04448829779630097,0.06373616576531617,0.06373616576531617,0.003754686747105382,0.0037318145332169246,2.2872213888457463e-05,0.003754686747105382,0.0037318145332169246,2.642908792777992e-08,2.5944931807944775e-08,-0.22940169422362625,326.0525895981816,296.15,29.902589598181635,0.015071205063620141,0.017972712351635778,0.2225416513808351,0.33499999999999996,0.749886965962023,0.6648804814628618
52,virtual,0.3370119869223913,0.01947355905528152,0.04492710448194772,0.06440066353722924,0.06440066353722924,0.0038194254562362224,0.003796650604726105,2.2774851510117336e-05,0.0038194254562362224,0.003796650604726105,2.668042472577102e-08,2.6200646716650294e-08,-0.2240005017472223,325.99812311385824,296.15,29.848123113858264,0.015365872846473394,0.018307567052360696,0.22225389400001436,0.33499999999999996,0.7498847559536516,0.664878254679102
53,virtual,0.34128568012167193,0.019697262239360146,0.04536190423665907,0.06505916647601921,0.06505916647601921,0.0038840296471925697,0.003861351452730482,2.267819446208786e-05,0.0038840296471925697,0.003861351452730482,2.6929549888376187e-08,2.6454021236480233e-08,-0.23272488937393426,325.94548256980687,296.15,29.795482569806893,0.015660521914981018,0.018641810095388678,0.22196870657479473,0.33499999999999996,0.7498825460856378,0.6648760319628658
54,virtual,0.34553126044762905,0.019919031279861145,0.04579280946964591,0.06571184074950706,0.06571184074950706,0.003948554848818645,0.003925972514421399,2.2582334397245295e-05,0.003948554848818645,0.003925972514421399,2.7176523244973816e-08,2.6705120971657046e-08,-0.23168683997453834,325.8900781451691,296.15,29.74007814516915,0.015955152148436014,0.018975456778917987,0.22168601486820563,0.33499999999999996,0.7498803363588868,0.6648738132124203
55,virtual,0.3497485409449155,0.0201389182464275,0.04621992877593792,0.06635884702236541,0.06635884702236541,0.004012934920090711,0.003990447801657499,2.2487118433211876e-05,0.004012934920090711,0.003990447801657499,2.742140274532186e-08,2.695400930024989e-08,-0.22423633192957862,325.8357968512675,296.15,29.685796851267526,0.016249763406122497,0.019308514829120327,0.22140575404693025,0.33499999999999996,0.7498781267744542,0.6648715983763865
56,virtual,0.3539399973996211,0.020356975416205257,0.04664337066031181,0.06700034607651706,0.06700034607651706,0.004077299077280162,0.004054906404891075,2.2392672389086668e-05,0.004077299077280162,0.004054906404891075,2.7664246570905783e-08,2.720074954577849e-08,-0.24674467470810643,325.78098621261495,296.15,29.63098621261497,0.01654435565663448,0.01964095874079419,0.2211278479052041,0.33499999999999996,0.7498759173325753,0.6648693876243739
57,virtual,0.35810425449923855,0.02057324947399842,0.04706323231258075,0.06763648178657916,0.06763648178657916,0.0041414987792583345,0.004119199923828009,2.2298855430325122e-05,0.0041414987792583345,0.004119199923828009,2.7905106677910605e-08,2.7445398431620464e-08,-0.23421332884741208,325.7287822787163,296.15,29.578782278716346,0.01683892881197835,0.019972822848345118,0.22085224356126995,0.33499999999999996,0.7498737080339103,0.6648671807280587
